sin,codigo_e,clase,forma_oficial,en_off_bajo_su_codigo,en_off_en_cualquier_entrada,en_nuestro_diccionario,n_formas_off_para_ese_codigo,nota,categoria,cubierta_por
SIN141(i),E141,natural_botanico,complejos cupricos de clorofilas,True,True,False,10,,ya_cubierta,complejos cupricos de clorofila
SIN141(i),E141,natural_botanico,clorofila de cobre,False,False,False,10,,ya_cubierta,clorofila
SIN141(i),E141,natural_botanico,feofitina de cobre a,False,False,False,10,,falso_negativo_real,
SIN141(ii),E141,natural_botanico,sales de sodio y potasio de complejos cupricos de clorofilinas,False,False,False,10,,falso_negativo_real,
SIN141(ii),E141,natural_botanico,clorofilina de cobre a,False,False,False,10,,falso_negativo_real,
SIN141(ii),E141,natural_botanico,clorofilina de cobre b,False,False,False,10,,falso_negativo_real,
SIN143,E143,sintetico,verde rapido fcf,True,True,False,3,,ya_cubierta,verde rapido
SIN150(a),E150,fuera_de_eje,caramelo clase i,False,False,False,23,,ya_cubierta,caramelo
SIN150(b),E150,fuera_de_eje,caramelo clase ii,False,False,False,23,,ya_cubierta,caramelo
SIN150(b),E150,fuera_de_eje,caramelo sulfito caustico,False,False,False,23,,ya_cubierta,caramelo
SIN150(d),E150,fuera_de_eje,caramelo sulfito amonico,False,False,False,23,,ya_cubierta,caramelo
SIN153,E153,natural_botanico,carbon vegetal,True,True,False,2,,falso_negativo_real,
SIN160a(i),E160a,sintetico,anaranjado alimentos 5,False,False,False,19,"La ley mexicana SEPARA el beta caroteno sintetico del natural, con codigo y CI distintos. El Codex los agrupa, Zancheta los fusiona y Hong Kong define el sintetico como natural. Mexico es la jurisdiccion que conserva el eje.",falso_negativo_real,
SIN160a(ii),E160a,natural_botanico,carotenos naturales,False,False,False,19,anaranjado alimentos 5 aparece en 160a(i) y en 160a(ii): la propia ley lo deja ambiguo.,ya_cubierta,carotenos
SIN160a(ii),E160a,natural_botanico,anaranjado alimentos 5,False,False,False,19,anaranjado alimentos 5 aparece en 160a(i) y en 160a(ii): la propia ley lo deja ambiguo.,falso_negativo_real,
SIN160a(ii),E160a,natural_botanico,alfa-caroteno,True,True,False,19,anaranjado alimentos 5 aparece en 160a(i) y en 160a(ii): la propia ley lo deja ambiguo.,ya_cubierta,caroteno
SIN160a(ii),E160a,natural_botanico,gama-caroteno,False,False,False,19,anaranjado alimentos 5 aparece en 160a(i) y en 160a(ii): la propia ley lo deja ambiguo.,ya_cubierta,caroteno
SIN160a(iii),E160a,natural_botanico,beta caroteno blakeslea trispora,False,False,False,19,,ya_cubierta,beta caroteno
SIN160(b),E160b,natural_botanico,annato norbixina,False,False,False,6,,ya_cubierta,norbixina
SIN160(e),E160e,sintetico,beta-apo-8'-carotenal,True,True,False,5,,falso_negativo_real,
SIN160f,E160f,sintetico,esteres metilico y etilico del acido beta-apo-8'-carotenoico,False,False,False,3,,mal_clasificada,caroteno
SIN161(b),E161b,natural_botanico,xantofilas,False,False,False,3,,falso_negativo_real,
SIN163(ii),E163,natural_botanico,enocianinas,False,False,False,15,,ya_cubierta,enocianina
SIN163(ii),E163,natural_botanico,eno,False,False,False,15,,falso_negativo_real,
SIN163(xi),E163,natural_botanico,clitoria ternatea,False,False,False,15,"COFEPRIS 03/11/2025, BPF. Fuente AZUL natural: toca la prediccion P1.",falso_negativo_real,
SIN163(xi),E163,natural_botanico,guisante mariposa,False,False,False,15,"COFEPRIS 03/11/2025, BPF. Fuente AZUL natural: toca la prediccion P1.",falso_negativo_real,
SIN163(xi),E163,natural_botanico,flor mariposa de chicharo,False,False,False,15,"COFEPRIS 03/11/2025, BPF. Fuente AZUL natural: toca la prediccion P1.",falso_negativo_real,
SIN173,,mineral_inorganico,polvo de aluminio,False,False,False,0,,falso_negativo_real,
SIN173,,mineral_inorganico,pigmento metal 1,False,False,False,0,,falso_negativo_real,
SIN174,,mineral_inorganico,plata,False,True,False,0,,falso_negativo_real,
SIN174,,mineral_inorganico,argentum,False,False,False,0,,falso_negativo_real,
SIN175,,mineral_inorganico,oro,False,True,False,0,,falso_negativo_real,
SIN175,,mineral_inorganico,aurum,False,False,False,0,,falso_negativo_real,
SIN175,,mineral_inorganico,pigmento metal 3,False,False,False,0,,falso_negativo_real,
