titulo,autores,anio,revista,doi,bloque,consulta,fuente_api,resumen
Perylene dye photodegradation due to ketones and singlet oxygen,"Earp, Alan A.; Rawling, Tristan; Franklin, Jim B.; Smith, Geoff B.",2010,Dyes and Pigments,10.1016/j.dyepig.2009.06.012,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
Effect of different electron donating groups on the performance of dye-sensitized solar cells,"Tian, Haining; Yang, Xichuan; Cong, Jiayan; Chen, Ruikui; Teng, Chao; Liu, Jing; Hao, Yan; Wang, Lei; Sun, Licheng",2010,Dyes and Pigments,10.1016/j.dyepig.2009.06.014,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
Sudan azo dyes and Para Red degradation by prevalent bacteria of the human gastrointestinal tract,"Xu, Haiyan; Heinze, Thomas M.; Paine, Donald D.; Cerniglia, Carl E.; Chen, Huizhong",2010,Anaerobe,10.1016/j.anaerobe.2009.06.007,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
An efficient light-harvesting ruthenium dye for solar cell application,"Wu, Shi-Jhang; Chen, Chia-Yuan; Chen, Jian-Ging; Li, Jheng-Ying; Tung, Yung-Liang; Ho, Kuo-Chuan; Wu, Chun-Guey",2010,Dyes and Pigments,10.1016/j.dyepig.2009.06.017,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
"The inkjet printing process for Lyocell and cotton fibres. Part 1: The significance of pre-treatment chemicals and their relationship with colour strength, absorbed dye fixation and ink penetration","Kaimouz, Ahmad Wassim; Wardman, Roger H.; Christie, Robert M.",2010,Dyes and Pigments,10.1016/j.dyepig.2009.06.015,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
Highly bright and photostable cyanine dye-doped silica nanoparticles for optical imaging: Photophysical characterization and cell tests,"Miletto, Ivana; Gilardino, Alessandra; Zamburlin, Pollyanna; Dalmazzo, Simona; Lovisolo, Davide; Caputo, Giuseppe; Viscardi, Guido; Martra, Gianmario",2010,Dyes and Pigments,10.1016/j.dyepig.2009.07.004,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
Dielectric relaxation dynamics in liquid crystal – dye composites,"Rahman, Muklesur; Hsieh, Chien-Wen; Wang, Chun-Tsai; Jian, Bo-Ru; Lee, Wei",2010,Dyes and Pigments,10.1016/j.dyepig.2009.07.005,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
Quantitative differentiation of dyes with overlapping one-photon spectra by femtosecond pulse-shaping,"Tkaczyk, Eric R.; Tkaczyk, Alan H.; Mauring, Koit; Ye, Jing Yong; Baker, James R.; Norris, Theodore B.",2010,Journal of Luminescence,10.1016/j.jlumin.2009.07.014,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
A study of interaction of cationic dyes with anionic polyelectrolytes,"Nandini, R.; Vishalakshi, B.",2010,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,10.1016/j.saa.2009.08.032,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
"D–π–A solvatochromic charge transfer dyes containing a 2-cyanomethylene-3-cyano-4,5,5-trimethyl-2,5-dihydrofuran acceptor","Kim, Sung-Hoon; Lee, Sue-Yoen; Gwon, Seon-Yeong; Son, Young-A.; Bae, Jin-Seok",2010,Dyes and Pigments,10.1016/j.dyepig.2009.07.012,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
Heat treatment effects on the characteristics and sonocatalytic performance of TiO2 in the degradation of organic dyes in aqueous solution,"Abdullah, Ahmad Zuhairi; Ling, Pang Yean",2010,Journal of Hazardous Materials,10.1016/j.jhazmat.2009.08.060,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
"Anthraquinone-2,6-disulfonate (AQDS) as a catalyst to enhance the reductive decolourisation of the azo dyes Reactive Red 2 and Congo Red under anaerobic conditions","Costa, M.C.; Mota, S.; Nascimento, R.F.; Dos Santos, A.B.",2010,Bioresource Technology,10.1016/j.biortech.2009.08.015,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
Selection of indicator bacteria based on screening of 16S rDNA metagenomic library from a two-stage anoxic–oxic bioreactor system degrading azo dyes,"Dafale, Nishant; Agrawal, Leena; Kapley, Atya; Meshram, Sudhir; Purohit, Hemant; Wate, Satish",2010,Bioresource Technology,10.1016/j.biortech.2009.08.006,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
"Electrochemical studies on the binding of a carcinogenic anthraquinone dye, Purpurin (C.I. 58 205) with DNA","Wang, Qingxiang; Gao, Feng; Yuan, Xianlong; Li, Wenqi; Liu, Aifen; Jiao, Kui",2010,Dyes and Pigments,10.1016/j.dyepig.2009.09.004,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
"Synthesis, characterization and photovoltaic properties of novel molecules based on triarylamine dyes","Erten-Ela, Sule; Marszalek, Magdalena; Tekoglu, Serpil; Can, Mustafa; Icli, Siddik",2010,Current Applied Physics,10.1016/j.cap.2009.09.009,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
Removal of direct azo dyes and aromatic amines from aqueous solutions using two β-cyclodextrin-based polymers,"Yilmaz, Elif; Memon, Shahabuddin; Yilmaz, Mustafa",2010,Journal of Hazardous Materials,10.1016/j.jhazmat.2009.09.093,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
A review of chromatographic methods for determination of synthetic food dyes,"Kucharska, Marta; Grabka, Jan",2010,Talanta,10.1016/j.talanta.2009.09.032,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
"Erratum to “The synthesis and characterization of heterocyclic azo dyes derived from 5-N,N-dialkylamino-2,2′-bithiophene couplers” [Dyes Pigments 83 (2009) 59–65]","Raposo, M. Manuela M.; Ferreira, Ana M.F.P.; Amaro, Mariana; Belsley, M.; Moura, João C.V.P.",2010,Dyes and Pigments,10.1016/j.dyepig.2009.09.001,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
Assessment of water contamination caused by a mutagenic textile effluent/dyehouse effluent bearing disperse dyes,"Carneiro, Patricia A.; Umbuzeiro, Gisela A.; Oliveira, Danielle P.; Zanoni, Maria Valnice B.",2010,Journal of Hazardous Materials,10.1016/j.jhazmat.2009.09.106,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
Analysis of solvent dyes in refined petroleum products by electrospray ionization mass spectrometry,"Rostad, Colleen E.",2010,Fuel,10.1016/j.fuel.2009.09.011,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
Photoinduced cleaning of water-soluble dyes on patterned superhydrophilic/superhydrophobic substrates,"Zhang, Xuemin; Zhang, Junhu; Ren, Zhiyu; Zhang, Xun; Tian, Tian; Wang, Yunan; Dong, Fengxia; Yang, Bai",2010,Nanoscale,10.1039/b9nr00055k,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
"Benzodipyrrolenine-based biscyanine dyes: Synthesis, molecular structure and spectroscopic characterization","Klochko, Oleksiy P.; Fedyunyayeva, Iryna A.; Khabuseva, Sania U.; Semenova, Olga M.; Terpetschnig, Ewald A.; Patsenker, Leonid D.",2010,Dyes and Pigments,10.1016/j.dyepig.2009.09.007,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
Integration of photocatalysis and membrane distillation for removal of mono- and poly-azo dyes from water,"Mozia, Sylwia; Morawski, Antoni W.; Toyoda, Masahiro; Tsumura, Tomoki",2010,Desalination,10.1016/j.desal.2009.06.075,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
Rapid decolorization of azo dyes in aqueous solution by an ultrasound-assisted electrocatalytic oxidation process,"Ai, Zhihui; Li, Jinpo; Zhang, Lizhi; Lee, Shuncheng",2010,Ultrasonics Sonochemistry,10.1016/j.ultsonch.2009.10.002,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
Colour removal of three reactive dyes by UV light exposure after electrochemical treatment,"Riera-Torres, M.; Gutiérrez, Maria-Carmen",2010,Chemical Engineering Journal,10.1016/j.cej.2009.10.006,A_colorantes_mercado_mx,"""synthetic dyes"" ""packaged foods""",Crossref,
Prevalence and impact of dye adulteration in toffee consumption: A case study on mildly acute or acute toxicity affecting the population in misbranded toffee and candy consumption; an occupational health study report and branding strategies in marketing n,Saurabh Dilip Bhandare,2025,Journal of Toxicological Studies,10.59400/jts1570,A_colorantes_mercado_mx,"""food dyes"" prevalence",OpenAlex,"Advancements in toxicological research have led to the development of several innovative methods for assessing the safety and potential risks of chemicals and toxic substances. This study investigates the prevalence and health implications of dye adulterants in toffees in excess amount from various brands distributed during a corporate year-end evaluation in Navi Mumbai, New Bombay 2015. The research employs random and stratified sampling methodologies to ensure a comprehensive analysis of the market. Laboratory tests reveals that dye X is present in 100% of samples from each brand, contradicting the natural flavour labels. Descriptive statistics indicate variations in dye concentration among brands, and ANOVA results demonstrate statistically significant differences in mean dye concentrations. Despite the presence of dye X across all brands, the chi-square test does not show a significant association between dye presence and brand at a 0.05 significance level. Employees reported adverse health effects, including dysuria, fatigue, and cardiovascular disturbances, after consuming the toffees, and tea. These findings highlight the need for stringent regulatory measures and consumer awareness to ensure food safety and mitigate health risks associated with food dye adulteration. The primary focus of this research study was to advance new methodologies for health monitoring and toxicology analysis that minimise large-scale disruptions. It aimed to foster innovation in medical scie"
Food Colorings and Flavors,Matthew Greenhawt; James L. Baldwin,2013,,10.1002/9781118744185.ch34,A_colorantes_mercado_mx,"""food dyes"" prevalence",OpenAlex,"Food flavorings and colorings are a heterogeneous group of compounds that are often derived from potential allergens. This chapter will discuss non-synthetic food colorings and flavorings that have been implicated in adverse food reactions. Many of these items are derived from plants or other biogenic sources and may contain allergenic epitopes or haptens, which can be recognized by specific IgE or T cells. The overall prevalence of reactions attributable to food colorings and flavorings is unknown, but thought to be low. Labeling of natural food coloring and flavor is often problematic. Natural colorants are not subject to the Food, Dye, and Cosmetic (FD&C) labeling regulations. Flavorings are exempted from labeling unless widely suspected to cause allergy (e.g., sulfites). Spices used as additives but not ingredients are also exempted. The exemption for carmine/cochineal extract was recently changed and must now be declared by name on product labels. This chapter will review known mechanisms of reaction, treatment strategy, and labeling regulations. Synthetic color additives are discussed elsewhere in this book."
Developmental disability and obesity: Oral health implications across the lifespan,Zanab Malik,2024,Special Care in Dentistry,10.1111/scd.13009,A_colorantes_mercado_mx,"""food colors"" ""pre-packaged foods""",OpenAlex,"I write to you regarding the topic of developmental disability and obesity and the oral health implications across the lifespan. There is higher prevalence of obesity amongst those with developmental disability compared with the general population.1, 2 Despite wide variations of prevalence data in the literature in the developmental disability population, there is consensus from a majority of studies that obesity in this group is significantly more common in women and tends to occur at a younger age.1-3 Others at risk for obesity with developmental disability include those with Down syndrome, Prader Willi syndrome, spina bifida, Autism Spectrum Disorders, ADHD, cerebral palsy, those with less severe levels of disability and those that are community dwelling.1 A recent systematic review identified 79 obesity syndromes that have been reported in literature.4 Certain syndromes may present with their own individualized risk factors, many which have possible oral health implications (see Table 1). Awareness for all dental practitioners of these obesity syndromes and associations is beneficial to ensure a non-judgmental approach. Aversion to foods, colors, and textures—rigidly adhering to high energy dense diets; impact on dental caries risk Psychotropic medications Social impairments Food used in behavioral modification; impact on dental caries risk Hypothyroidism Poor mastication, or chewing Sensory deficits that make balance and coordination more difficult Poor impulse control I"
EFFECTS OF DIFFERENT PEKMEZ (FRUIT MOLASSES) TYPES USED AS A NATURAL SUGAR SOURCE ON THE BATTER RHEOLOGY AND PHYSICAL PROPERTIES OF CAKES,"AKBULUT, MEHMET; BİLGİÇLİ, NERMİN",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00274.x,A_colorantes_mercado_mx,"""food colors"" ""pre-packaged foods""",Crossref," 
                     ABSTRACT 
                     
                       Five different kinds of fruit pekmez (mulberry, apricot, elecampane, grape and watermelon) were used in cake formulations as a natural sugar source. The rheologic properties of the batters and the physical and sensory properties of the cakes were investigated. Batter viscosity was measured at 15, 18, 21 and 24C using the Brookfield‐type rotational viscometer. The power law model appeared to be suitable for describing the flow behavior of the cake batters containing pekmez as indicated by high 
                      r
                       
                         2 
                        values.
                       
                      n
                       and 
                      k
                       values ranged from 0.2528 (elecampane) to 0.5930 (mulberry), 124.38 (elecampane) and 13.42 (grape) at 24°C, respectively. However, the consistency index ( 
                      k
                       ) of all samples decreased as temperature increased. The cake batters containing pekmez exhibited a pseudoplastic behavior. The replacement of sugar with pekmez in the cake formulations decreased the cake volumes. Elecampane bush (andız) pekmez gave the most reddish ( 
                      a
                       ) batter color. The others decreased the 
                      L
                       value and increased the 
                      a
                       value of th"
"DETERMINATION OF DRYING PARAMETERS, ASCORBIC ACID CONTENTS AND COLOR CHARACTERISTICS OF NETTLE LEAVES DURING MICROWAVE‐, AIR‐ AND COMBINED MICROWAVE–AIR‐DRYING","ALIBAS, ILKNUR",2010,Journal of Food Process Engineering,10.1111/j.1745-4530.2008.00268.x,A_colorantes_mercado_mx,"""food colors"" ""pre-packaged foods""",Crossref,"  ABSTRACT    Nettle leaves ( Urtica dioica  L.), with a moisture of 4.41 (dry basis [d.b .]), were dried using three drying methods: microwave, air and combined microwave–air. Drying continued until leaf moisture decreased to 0.1 (d.b .). Three different microwave output powers, 160, 350 and 500 W, were used in the microwave‐drying. Drying treatments in air‐drying were 50, 75 and 100C, and 1 m/s fan speed. The combination drying, in which microwave‐ and air‐drying were applied together, was nine different combination levels. Drying periods lasted for 6–14, 40–120 and 2–12 min for microwave‐, air‐ and combined microwave–air‐drying, respectively, depending on the drying level. Energy consumption was 0.07–0.10, 0.25–0.34 and 0.08–0.16 kWh, respectively. In this study, measured values were compared with the predicted values obtained from Page's semiempirical equation. Optimum drying period, color and energy consumption were obtained when microwave‐ and air‐drying were applied simultaneously and the optimum combination level was 500‐W microwave applications at 50C.     PRACTICAL APPLICATIONS  Microwave‐, air‐ and combined microwave–air‐drying have been industrially applied in the drying of foodstuffs, and pharmaceutical and biologic products. The use of a combined microwave–air dryer is common in the food industry. Applied examples include the serial or a parallel combination of bothmethods. The application of the microwave as a heat source produces a fast drying rate and higher "
"Mixture Design and Response Surface Analysis of Densification of Silicon Carbide Ceramics with (SiO
                    <sub>2</sub>
                    –Dy
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    –Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    ) Additives","Marchi, J.; Bressiani, José Carlos; Bressiani, Ana Helena Almeida; Bruns, Roy Edward",2010,International Journal of Applied Ceramic Technology,10.1111/j.1744-7402.2009.02358.x,B_aditivos_envasados_mx,"""food additives"" ""packaged food supply""",Crossref," 
                    Statistical mixture designs are used to systematically study the densification properties of silicon carbide (SiC) ceramics sintered with SiO
                     2 
                    , Dy
                     2 
                    O
                     3 
                    , and Al
                     2 
                    O
                     3 
                    . Mixture models for percentage theoretical density and SiC weight loss as a function of the SiO
                     2 
                    , Dy
                     2 
                    O
                     3 
                    , and Al
                     2 
                    O
                     3 
                    oxide proportions have been determined and validated by analysis of variance. The results indicate a region confined by about 0–20 mol% silica, 50–65 mol% dysprosia, and 40–65 mol% alumina, with all samples containing 10% by volume of additives, and simultaneously maximization of density values and minimization of weight loss during SiC‐based ceramic sintering.
                   "
Effect of treatment with probiotics as water additives on tilapia (Oreochromis niloticus) growth performance and immune response,"Zhou, Xuxia; Tian, Ziqiang; Wang, Yanbo; Li, Weifen",2010,Fish Physiology and Biochemistry,10.1007/s10695-009-9320-z,B_aditivos_envasados_mx,"""food additives"" ""packaged food supply""",Crossref,
Queima e aditivos químicos e bacterianos na ensilagem de cana-de-açúcar,"Siqueira, Gustavo Rezende; Reis, Ricardo Andrade; Schocken-Iturrino, Ruben Pablo; Pires, Aureliano José Vieira; Bernardes, Thiago Fernandes; Roth, Marcella de Toledo Piza",2010,Revista Brasileira de Zootecnia,10.1590/s1516-35982010000100014,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," Objetivou-se avaliar o efeito da queima e do uso de aditivos (ureia, benzoato de sódio, hidróxido de sódio (NaOH), Propionibacterium acidipropionici + Lactobacillus plantarum e Lactobacillus buchneri) na ensilagem de cana-de-açúcar. Utilizou-se o delineamento inteiramente casualizado, em esquema fatorial 2 (cana-de-açúcar crua e queimada) × 6 (cinco aditivos mais o grupo controle) com três repetições. Determinaram-se as perdas durante o processo fermentativo nas formas de gases e de efluentes e a recuperação de matéria seca (MS). Maior recuperação de MS foi observada nas silagens de cana-de-açúcar queimada (77,3%) em relação às silagens de cana crua (73,1%). As recuperações de MS observadas nas silagens tratadas com NaOH ou L. buchneri foram de 84%, enquanto das silagens controle, 69%. No período após abertura, uma variável importante é a inibição da elevação do pH, nesse caso, medida pela variação do pH. Destacam-se como inibidores da variação do pH o benzoato de sódio e o L. buchneri, que promoveram variação do pH de 0,05 e 0,18 unidade de pH, respectivamente. A ensilagem da cana-de-açúcar sem aditivos, crua ou queimada, é uma estratégia que resulta em grandes perdas quantitativas, que podem ser evitadas pelo uso de aditivos. Entre os aditivos avaliados, o L. buchneri é o que atua de forma mais satisfatória nas fases de fermentação e pós-abertura de silagens de cana-de-açúcar crua ou queimada. "
Perdas fermentativas e composição bromatológica da entrecasca de palmito pupunha ensilada com aditivos químicos,"Schmidt, Patrick; Rossi Junior, Paulo; Toledo, Luciandra Macedo de; Nussio, Luiz Gustavo; Albuquerque, Danila Santiago de; Meduri, Beatriz",2010,Revista Brasileira de Zootecnia,10.1590/s1516-35982010000200005,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," Objetivou-se avaliar o efeito da inclusão de aditivos químicos na ensilagem de resíduos (entrecasca) da produção de palmito pupunha (Bactris gasipaes, Kunth). Utilizaram-se silos experimentais (baldes de 20 litros) providos de aparatos para determinação gravimétrica de perdas por gases e efluentes. Os tratamentos aplicados foram: controle (sem aditivos); ureia (1% da MV) e cal virgem (1% da MV). Decorridos 70 dias de armazenagem, os silos foram pesados, abertos e amostrados. As perdas por efluentes e gases aumentaram com a aplicação de cal virgem na ensilagem. As perdas totais de MS foram de 15,1; 14,4 e 26,6% nas silagens controle, ureia e cal, respectivamente. Em todas as silagens, houve redução no teor de FDN e elevação da fração FDA, o que indica desaparecimento da fração hemicelulose. A relação cálcio:fósforo aumentou substancialmente com a adição de cal virgem, de 4,1:1 na silagem controle para 15,6:1 na silagem com cal. O resíduo da extração do palmito pupunha pode ser classificado como alimento de média qualidade e alto teor de umidade. Os aditivos aplicados na ensilagem não são efetivos em reduzir as perdas fermentativas no processo de conservação. "
"Grupo genético, sistema de acasalamento e efeitos genéticos aditivos e não-aditivos nas características de musculosidade da carcaça de novilhos oriundos do cruzamento rotativo Charolês × Nelore","Pacheco, Paulo Santana; Restle, João; Brondani, Ivan Luiz; Alves Filho, Dari Celestino; Padua, João Teodoro; Miotto, Fabrícia Rocha Chaves",2010,Revista Brasileira de Zootecnia,10.1590/s1516-35982010000300007,B_aditivos_envasados_mx,"""aditivos alimentarios"" preenvasados",Crossref," Foram avaliadas as carcaças de 800 novilhos oriundos do cruzamento rotativo entre as raças Charolesa e Nelore abatidos aos 2 anos de idade. As características avaliadas foram: conformação, espessura de coxão, perímetro de braço, área de olho-de-lombo e área de olho-de-lombo dividida por 100 kg de peso da carcaça fria (AOL100). Na análise dos dados, consideraram-se dois modelos: o Modelo 1 incluiu os efeitos genéticos de sistema de acasalamento e grupo genético do novilho aninhado em sistema de acasalamento e o Modelo 2 correspondeu ao Modelo 1, porém o sistema de acasalamento e o grupo genético foram substituídos pelas covariáveis representativas da porcentagem da raça Charolesa no indivíduo e na sua mãe e da porcentagem de heterozigose no indivíduo e na sua mãe. Pela análise do Modelo 1, novilhos charoleses foram superiores aos nelores em todas as características avaliadas. A heterose retida foi significativa para conformação (4,2%), espessura de coxão (3,2%), perímetro de braço (4,2%), área de olho-de-lombo (7,3%) e AOL100 (-6,7%). O efeito genético aditivo individual da raça Charolesa em relação à Nelore foi de 1,89 pontos para conformação, 1,37 cm para espessura de cochão, 2,55 cm para perímetro de braço, 12,70 cm² para área de olho-de-lombo e 3,13 cm² para AOL100. O efeito genético heterótico individual (em relação à média dos definidos) foi de 3,9% para conformação, 3,8% para espessura de cochão, 3,1% para perímetro de braço e 9,8% para área de olho-de-lombo. A heteros"
