relevancia,titulo,anio,revista,idioma,paises,citas,doi,bloque,consulta,fuente_api,url,revisado,pertinente,nota,resumen
14,Human health implications from co-exposure to aflatoxins and fumonisins in maize-based foods in Latin America: Guatemala as a case study,2014,World Mycotoxin Journal,en,"GT,US",94,10.3920/wmj2014.1736,B_aditivos_envasados_mx,"""food additives"" ""Latin America""",OpenAlex,https://openalex.org/W1979006706,,,,"Co-occurrence of fumonisin B1 (FB1) and aflatoxin B1 (AFB1) in maize has been demonstrated in many surveys. Combined-exposure to FB1 and AFB1 was of concern to the Joint FAO/WHO Expert Committee on Food Additives because of the known genotoxicity of AFB1 and the ability of FB1 to induce regenerative proliferation in target tissues. Humans living where maize is a dietary staple are at high risk for exposure to both mycotoxins. Our work has focused on Guatemala, a country in Central America where maize is consumed in large amounts every day and where intake of FB1 has been shown to be potentially quite high using biomarker-based studies. In 2012 a survey was conducted which analysed maize samples for FB1 and AFB1 from all 22 departments of Guatemala. The results show that the levels of AFB1 exposure are also potentially quite high in Guatemala, and likely throughout Central America and Mexico. The implications of co-exposure for human health are numerous, but one area of particular concern is the potential of FB1 to modulate AFB1 hepatoxicity and/or hepatocarcinogenicity. Both the mechanism of action of FB1 and its ability to promote liver carcinogenicity in rats and rainbow trout is consistent with this concern. In farm and laboratory animals FB1 inhibits ceramide synthases, key enzymes inde novo ceramide biosynthesis. The inhibition of sphingolipid signalling pathways mediating programmed cell death and activation of pathways stimulating cell proliferation in livers of indivi"
14,"Viviendo con plomo: measuring levels of lead consumption and combating absorption with nutrition in Oaxaca, Mexico",2012,"CSUN ScholarWorks (California State University, Northridge)",en,,0,,B_aditivos_envasados_mx,"""food additives"" ""Latin America""",OpenAlex,https://openalex.org/W2191878155,,,,"OF THE THESIS Viviendo Con Plomo: Measuring Levels of Lead Consumption and Combating Absorption with Nutrition in Oaxaca, Mexico by Kristen Gail Meckel-Parker Master of Public Health and Master of Arts in Latin American Studies San Diego State University, 2011 Santa Maria Atzompa is a Oaxacan community well known for its production of green-glazed ceramic. Ceramic is the primary source of income in the community and also is the primary source of lead (Pb). This study determined the amount of Pb consumed by community members based on portion sizes of cooked beans, a main food staple, for both adults and children. After collecting bean samples, performing a LeadCheck® Swab on the pot that the beans were cooked and/or stored in, and conducting informal interviews with questions pertaining to the samples collected, the beans were chemically analyzed in the laboratory at San Diego State University. Pb levels in the beans ranged from 4.15-47.74 parts per million (ppm). The average consumption level for children, based on a mean portion size of 135.6 g, was 2,770 mg/Pb. The average consumption level for adults, based on a mean portion size of 283.8 g, was 5,470 mg/Pb. The Joint FAO/WHO Expert Committee on Food Additives (JECFA) established a provisional tolerable weekly intake (PTWI) for Pb of 25 mg of Pb per kilogram of body weight (mg/Pb/kg) per week or 3.5 mg/Pb/kg per day. Based on a community average of bean consumption six times per week, the average child weighing 30 kg is in"
13,"Food additives: distribution and co-occurrence in 126,000 food products of the French market",2020,Scientific Reports,en,FR,165,10.1038/s41598-020-60948-w,D_calidad_open_food_facts,"""Open Food Facts""",OpenAlex,https://openalex.org/W3009384267,,,,"BACKGROUND: More than 330 food additives (e.g. artificial sweeteners, emulsifiers, dyes) are authorized in Europe, with a great variability of use across food products. OBJECTIVE: The objective of this study was to investigate the distribution and co-occurrence of food additives in a large-scale database of foods and beverages available on the French market. DESIGN: The open access crowdsourced Open Food Facts database (https://world.openfoodfacts.org/) was used to retrieve the composition of food and beverage products commonly marketed on the French market (n = 126,556), based on the ingredients list. Clustering of food additive variables was used in order to determine groups of additives frequently co-occurring in food products. The clusters were confirmed by network analysis, using the eLasso method. RESULTS: Fifty-three-point eight percent of food products contained at least 1 food additive and 11.3% at least 5. Food categories most likely to contain food additives (in more than 85% of food items) were artificially sweetened beverages, ice creams, industrial sandwiches, biscuits and cakes. The most frequently used food additives were citric acid, lecithins and modified starches (>10,000 products each). Some food additives with suspected health effects also pertained to the top 50: sodium nitrite, potassium nitrate, carrageenan, monosodium glutamate, sulfite ammonia caramel, acesulfame K, sucralose, (di/tri/poly) phosphates, mono- and diglycerides of fatty acids, potassium"
13,Construcción y Validación de un Instrumento para Evaluar el Consumo de Alimentos con Rojo Allura,2019,Información tecnológica,es,MX,4,10.4067/s0718-07642019000300219,A_colorantes_mercado_mx,"colorantes ""alimentos procesados""",OpenAlex,https://openalex.org/W2953069400,,,,"Se realiz un estudio exploratorio para identificar los alimentos procesados que contienen rojo allura y que sean expendidos cerca de escuelas de educacin bsica en la Ciudad de Puebla-Mxico. Hay estudios que confirman la toxicidad del colorante rojo allura y su posible relacion con la generacin de metabolitos carcinognicos. Para el estudio, se dise un instrumento de medicin para determinar la frecuencia de consumo en nios de 10 a 13 aos de edad. Se inici con un anlisis descriptivo mediante un estudio de campo y con los productos identificados se dise el instrumento. Posteriormente se valid con el coeficiente del alfa de Cronbach. Se determin que la poblacin infantil consume frecuentemente alimentos procesados con rojo allura, teniendo como consumo diario las botanas (frituras), seguido por cereales y yogurt. El estudio logr disear y validar un instrumento de confiabilidad, que permiti medir la frecuencia de consumo de alimentos procesados con rojo allura en infantes."
13,Azúcares y colorantes en yogures y jugos: Un riesgo para la salud,2024,Educación y Salud Boletín Científico Instituto de Ciencias de la Salud Universidad Autónoma del Estado de Hidalgo,es,MX,0,10.29057/icsa.v13i25.13748,A_colorantes_mercado_mx,"colorantes ""alimentos procesados""",OpenAlex,https://openalex.org/W4405090148,,,,"En la alimentación los colorantes influyen en el sabor de los alimentos, comúnmente son utilizados para potenciar el color natural de ciertos alimentos y en ocasiones para reponer el color perdido durante su conservación, ocasionando que sean poco llamativos para el consumidor. Por lo que el objetivo de este artículo es analizar los colorantes y la cantidad de azúcares añadidos presentes en alimentos procesados dirigidos a la población infantil, como el yogurt y los jugos. Resultados y discusión: Los productos evaluados (yogures y jugos) mostraron un alto contenido de azúcares añadidos (9 a 33 g/100 mL), influyendo en su contenido calórico. Dentro de sus ingredientes, también se encontraron colorantes (rojo brillante, caramelo IV y carmín), los cuales podrían ocasionar efectos no deseables a la salud de los niños. Conclusiones: Todas las marcas de productos analizadas presentaron azúcares añadidos, contribuyendo a que la población infantil sobrepase las recomendaciones de consumo emitidas por la OMS."
12,"Additives in foods marketed to children in Uruguay, an emerging Latin American country",2025,Journal of Nutritional Science,en,UY,6,10.1017/jns.2024.98,B_aditivos_envasados_mx,"""food additives"" ""Latin America""",OpenAlex,https://openalex.org/W4406624359,,,,"Foods are frequently marketed to children through the inclusion of a wide range of elements on the packages. Several studies conducted in different countries around the globe have shown that products marketed to children are usually high in sugar and other nutrients associated with non-communicable diseases. The present exploratory cross-sectional study aimed at providing additional evidence on the composition of products marketed to children by analysing the disclosure of additives in such products. Data were collected at nine supermarkets in two Uruguayan cities between August and October 2021. All packaged products available in each supermarket were surveyed using a cell phone app, except for culinary ingredients. All the information from the labels was extracted. Products marketed to children were identified based on the presence of indicators of child-directed marketing on the package. The disclosure of additives was analysed based on the information available in the ingredient list. The prevalence of food additive disclosure was calculated. Of the 7,343 products included in the database, 573 (7.8%) were classified as marketed to children. Candies and cookies were the categories with the largest number of products marketed to children. The great majority of the products marketed to children disclosed at least one food additive (93.5%). These products tended to more frequently notify colourings, antioxidants, acidity regulators, raising agents, stabilisers, humectants, an"
12,Prevalence of ultra-processed foods and beverages in newly launched products across the Americas: a comparison between the United States and Latin American countries from 2018 to 2023,2025,Frontiers in Public Health,en,US,5,10.3389/fpubh.2025.1659915,B_aditivos_envasados_mx,"""food additives"" ""Latin America""",OpenAlex,https://openalex.org/W4414074046,,,,"Background Ultra-processed foods (UPFs) are an increasing global health concern, but their prevalence across the food supply is unknown. This is particularly important in developing countries such as Latin America, where consumption is lower but increasing. We quantified country-specific metrics of UPFs in the food supply across the Americas, including the prevalence of UPFs, the presence and number of additives, and the extent to which UPFs and non-UPFs are high in saturated fat, sugar, and sodium (HFSS). Methods Using data on packaged products launched between 2018 and 2023 from the Mintel Global New Products Database in 11 North and Latin American countries ( n = 207,363 products), we identified the presence of ultra-processing markers, such as additives, in foods and beverages’ ingredient lists. We compared the prevalence of UPFs and food additives in each country to the U.S. and the mean number of additives by additive class and country. The prevalence of HFSS for ultra-processed and non-ultra-processed packaged foods and beverages was estimated in a subsample ( n = 123,072) based on the Chilean nutrient profile model. Results The prevalence of UPFs ranged from 69 in Venezuela to 85% in Costa Rica. Flavors and other additives were the most prevalent, ranging from 60 to 78% and 49 to 70% in Venezuela and Costa Rica, respectively. The mean number of additives ranged from 3.9 in Venezuela to 7.1 in Peru. For foods, but not beverages, a higher percentage of ultra-processed p"
12,"Innovación para una Alimentación Saludable: El Etiquetado Frontal Herramienta de Cambio Conductual en Jalisco, México",2025,Scientia et PRAXIS,es,MX,1,10.55965/setp.5.09.a2,B_aditivos_envasados_mx,"""NOM-051"" etiquetado",OpenAlex,https://openalex.org/W4410720889,,,,"Contexto. El aumento en la prevalencia de enfermedades no transmisibles en México, atribuible en parte al consumo de alimentos densamente energéticos, ha motivado la implementación de políticas públicas orientadas a modificar los hábitos alimenticios. Entre ellas, destaca el selllo de advertencia de etiquetado frontal (SAF) como estrategia de bajo costo cognitivo, alineada con los principios del nudge y el ODS3 de la Agenda 2030. Problema. Existe incertidumbre sobre la efectividad del sello de advertencia frontal (SAF) como mecanismo para reducir el consumo de alimentos poco saludables, en particular en regiones como Jalisco. A ello se suma la escasez de evaluaciones empíricas que contrasten su impacto económico en el comportamiento del consumidor. Objetivo. Estimar el impacto del etiquetado frontal en el gasto trimestral de hogares urbanos de Jalisco en alimentos densamente energéticos, entre 2016 y 2022. Metodología. Se utilizó un diseño cuasiexperimental de “diferencias en diferencias” a través del software STATA19 , empleando datos de la Encuesta Nacional de Ingresos y Gastos de los Hogares (ENIGH) 2016, 2020 y 2022. Se compararon hogares urbanos (tratados) y rurales (control) en términos de gasto en doce productos considerados densamente energéticos, según la NOM-051. Hallazgos teóricos y prácticos. El etiquetado frontal resultó ser eficaz para disminuir el gasto en 10 de los 12 productos evaluados. No obstante, su efecto fue nulo o incluso adverso en bebidas azucaradas "
12,¿El Jamón de pavo es tan saludable como pensamos?: NOM-051-SCFI/SSA-2010,2021,Educación y Salud Boletín Científico Instituto de Ciencias de la Salud Universidad Autónoma del Estado de Hidalgo,es,MX,0,10.29057/icsa.v9i18.6595,B_aditivos_envasados_mx,"""NOM-051"" etiquetado",OpenAlex,https://openalex.org/W3171280118,,,,"El jamón de pavo es un alimento popular en la alimentación mexicana, su procesamiento industrial ha permitido el acceso para consumo de manera generalizada; se define como el producto alimenticio elaborado exclusivamente con carne de los muslos del pavo, declarados aptos para el consumo humano por la autoridad responsable, de la especie Meliagridis gallo-pavo. Al ser el jamón un alimento con un alto contenido de sodio, el consumo diario de este alimento podría tener repercusiones a la salud, por lo que su ingesta debe ser moderada. La actualización de la NOM-051-SCFI/SSA-2010 ha establecido los lineamientos para orientar a la población hacia un consumo responsable agregando sellos de advertencia “exceso de kcals, grasas saturadas, grasas trans, sodio y azúcares” en el etiquetado frontal de los productos alimenticios. El objetivo de este estudio fue analizar el contenido nutrimental de nueve marcas comerciales de jamón de pavo tomando como referencia las recientes modificaciones de la NOM-051-SCFI/SSA-2010 para el etiquetado de productos alimenticios. Todos los productos evaluados ameritan al menos un sello de advertencia por exceso de sodio y solo uno de los productos debe presentar dos sellos de advertencia nutricional (“exceso de grasas saturadas” y “exceso de sodio”). Por tanto, el jamón de pavo, al igual que los derivados cárnicos debe ser considerado un producto de consumo moderado."
12,Desarrollo y estandarización de un producto regional a base de cacao y maíz,2023,LATAM Revista Latinoamericana de Ciencias Sociales y Humanidades,es,MX,0,10.56712/latam.v4i2.801,B_aditivos_envasados_mx,"""NOM-051"" etiquetado",OpenAlex,https://openalex.org/W4383645603,,,,"En la presente investigación se desarrolló un producto regional a base de cacao y maíz con el objetivo de estandarizar el producto conocido como “Xole”, un atole negro muy popular en la región Nororiental del estado de Puebla, con la intención de facilitar su elaboración y consumo, ofreciendo las cualidades que caracterizan al producto en color, olor, sabor y textura. Se recolecto información empírica para conocer el proceso artesanal del Xole y determinar los componentes que se requieren en su elaboración y producción, se analizó la metodología para poder obtener los tiempos aproximados de proceso, se elaboraron diversas formulaciones del polvo para preparar la bebida a base de maíz y cacao, el cual fue caracterizado en base a los análisis proximales establecidos en la normativa aplicable a humedad, grasa, cenizas, fibra, proteína y carbohidratos para determinar el valor nutricional del producto y de acuerdo a los resultados obtenidos al calcular el aporte calórico. Además, fue evaluado sensorialmente por un panel de jueces no entrenados escogidos aleatoriamente. Finalmente se propone una presentación comercial de la harina en un empaque y con un etiquetado de acuerdo con sus especificaciones en base a la norma NOM-051-SCFI/SSA1-2010."
12,"¿Cuánta soya, grasa y sal/sodio contienen los chorizos comerciales?",2021,Educación y Salud Boletín Científico Instituto de Ciencias de la Salud Universidad Autónoma del Estado de Hidalgo,es,MX,0,10.29057/icsa.v9i18.6577,B_aditivos_envasados_mx,"""NOM-051"" etiquetado",OpenAlex,https://openalex.org/W3170766319,,,,"El chorizo es considerado como un producto cárnico procesado, escaldado o madurado, embutido, elaborado con base de carne y grasa de animales de abasto. El objetivo del presente estudio fue evaluar la cantidad de soya, grasa y sal que contienen los chorizos comerciales considerando la normativa que rige estos productos. Se realizó una búsqueda de chorizos en los supermercados situados en la Ciudad de México, Estado de México e Hidalgo. Se analizó y comparó el etiquetado de 12 marcas de chorizo considerando 100 g de producto tomando en cuenta la energía, proteínas, carbohidratos, grasas, fibra y sodio que aportan estos productos. Los chorizos comerciales evaluados presentaron cantidades de grasa (0.33 a 13.8 %) y sodio (entre 1.3 hasta 10 g). De acuerdo a lo establecido en la NOM-051-SCFI/SSA1-2010, los productos que exceden el contenido >10% de grasas saturadas y >300 mg de sodio se les debe incluir sellos de advertencia “Exceso de grasa saturada” y “Exceso de sodio”. Por su parte, la cantidad de soya no fue reportada en todos los productos evaluados, sin embargo, sí, la cantidad de fibra que se reporta en la tabla nutrimental de los mismos, lo que podría justificar el contenido vegetal a partir de soya en los chorizos, los cuales presentaron cantidades de 0.33 a 4.1%."
12,Prevalence of ultra-processed foods and beverages in newly launched products across the Americas: a comparison between the United States and Latin American countries from 2018 to 2023,2025,UNC Libraries,en,US,0,10.17615/b8mn-p339,B_aditivos_envasados_mx,"""food additives"" ""Latin America""",OpenAlex,https://openalex.org/W4415327450,,,,"Ultra-processed foods (UPFs) are an increasing global health concern, but their prevalence across the food supply is unknown. This is particularly important in developing countries such as Latin America, where consumption is lower but increasing. We quantified country-specific metrics of UPFs in the food supply across the Americas, including the prevalence of UPFs, the presence and number of additives, and the extent to which UPFs and non-UPFs are high in saturated fat, sugar, and sodium (HFSS). Using data on packaged products launched between 2018 and 2023 from the Mintel Global New Products Database in 11 North and Latin American countries (n = 207,363 products), we identified the presence of ultra-processing markers, such as additives, in foods and beverages’ ingredient lists. We compared the prevalence of UPFs and food additives in each country to the U.S. and the mean number of additives by additive class and country. The prevalence of HFSS for ultra-processed and non-ultra-processed packaged foods and beverages was estimated in a subsample (n = 123,072) based on the Chilean nutrient profile model. The prevalence of UPFs ranged from 69 in Venezuela to 85% in Costa Rica. Flavors and other additives were the most prevalent, ranging from 60 to 78% and 49 to 70% in Venezuela and Costa Rica, respectively. The mean number of additives ranged from 3.9 in Venezuela to 7.1 in Peru. For foods, but not beverages, a higher percentage of ultra-processed products were HFSS compared to"
