id,code,estrato,bloque,anotador_1,anotador_2,terminos_1,terminos_2,dudosos_1,dudosos_2,texto_utilizable_1,texto_utilizable_2,generica_1,generica_2,en_desempate
R0018,7501011133921,sintetico,solo_B,,SI,,Rojo Allura AC; Amarillo Ocaso FCF; Tartrazina; Azul Brillante FCF,,,,SI,,NO,NO
R0019,7501008843765,ambiguo_descartado,solo_B,,DUDOSO,,,,betacaroteno,,NO,,NO,NO
R0020,2000000142230,sintetico,solo_B,,SI,,rojo 3,,,,SI,,NO,NO
R0021,7501032485177,sintetico,solo_A,SI,,rojo 40; rojo D&C 5; azul 1,,,,SI,,NO,,NO
R0022,7501761802504,natural,comun,SI,SI,ROJO BETABEL; CURCUMINA; CARMÍN; BETA CAROTENO,ROJO BETABEL; CURCUMINA; CARMÍN; BETA CAROTENO,,,SI,SI,NO,NO,NO
R0023,7501030482437,sintetico,comun,SI,SI,amarillo 5; dióxido de titanio; amarillo 6,amarillo 5; dióxido de titanio; amarillo 6,,,SI,SI,NO,NO,NO
R0024,75013820,sin_deteccion,solo_B,,SI,,camin,,,,SI,,NO,NO
R0025,7501024203413,natural,solo_A,SI,,ANNATO; CURCUMA,,,,SI,,NO,,NO
R0026,7501045402994,sin_deteccion,solo_A,NO,,,,,,SI,,NO,,NO
R0027,7501013611267,natural,solo_A,SI,,EXTRACTO DE ANNATO,,,,SI,,NO,,NO
R0028,38000201141,natural,comun,SI,SI,norbixina de annato,norbixina de annato,,,SI,SI,NO,NO,NO
R0029,8005121000757,sin_deteccion,comun,NO,NO,,,,,SI,SI,NO,NO,NO
R0030,7501005180306,natural,solo_B,,SI,,achiote; amarillo 5; tartrazina; amarillo 6,,,,SI,,NO,NO
R0031,2000000123904,natural,solo_B,,SI,,beta caroteno,,,,SI,,NO,NO
R0032,7500478022335,sintetico,solo_A,SI,,ROJO ALLURA AC; AMARILLO OCASO FCF; AZUL BRILLANTE FCF,,CARBONATO DE CALCIO,,SI,,NO,,NO
R0033,7501005180832,natural,solo_B,,SI,,ACHIOTE; AMARILLO 5; AMARILLO 6,,,,SI,,NO,NO
R0034,7502004719764,natural,solo_A,SI,,extracto de paprika; amarillo FD&C 6; tartrazina; azorrubina; rojo FD%C 40,,cúrcuma en polvo,,SI,,NO,,NO
R0035,7501011169821,sintetico,solo_B,,SI,,Rojo allura AC,,,,SI,,NO,NO
R0036,53517006157,sin_deteccion,solo_B,,NO,,,,,,SI,,NO,NO
R0037,7501055317653,sintetico,solo_B,,SI,,Azul 1,,,,SI,,NO,NO
R0038,7501069213446,natural,solo_B,,SI,,annato norbixina,,,,SI,,NO,NO
R0039,654858704407,natural,comun,SI,SI,achiote,achiote,,,SI,SI,NO,NO,NO
R0040,7501032398941,natural,solo_A,SI,,jugo de zanahoria; carmín,,,,SI,,NO,,NO
R0041,7501040034749,ambiguo_descartado,solo_B,,DUDOSO,,,,oleorresina de cúrcuma; paprika,,SI,,NO,NO
R0042,758104007943,sintetico,comun,SI,SI,rojo 40; amarillo 5; azul 1,rojo 40; amarillo 5; azul 1,,,SI,SI,NO,NO,NO
R0043,884912014283,natural,comun,SI,SI,annatto extract,annatto extract,riboflavin (vitamin b2),riboflavin; vitamin b2,SI,SI,NO,NO,NO
R0044,19836100754,natural,solo_A,SI,,"Carmin; Beta, beta-caroteno",,,,SI,,NO,,NO
R0045,7501055370603,ambiguo_descartado,comun,SI,DUDOSO,CAROTEÑOS,,,CAROTEÑOS,SI,SI,NO,NO,SI
R0046,7506306417809,natural,solo_B,,SI,,CARMÍN; ROJO 40; TARTRAZINA,,,,SI,,NO,NO
R0047,608875001209,ambiguo_descartado,solo_B,,SI,,extracto de annato,,,,SI,,NO,NO
R0048,2548791659284,sintetico,solo_A,SI,,tartrazina; amarillo 6; carmoisina; azul 2; pigmente blanco 6; rojo 6,,,,SI,,NO,,NO
R0049,7501413540778,natural,comun,SI,SI,extracto de annato; carmin,extracto de annato; carmin,,,SI,SI,NO,NO,NO
R0050,729090050824,sin_deteccion,solo_A,NO,,,,,,SI,,NO,,NO
R0051,7501011194465,ambiguo_descartado,comun,SI,SI,Extracto de Annato,Extracto de Annato,,,NO,SI,NO,NO,NO
R0052,7501052470030,sintetico,solo_B,,SI,,amarillo 6,,,,SI,,NO,NO
R0053,31200454560,sin_deteccion,solo_A,DUDOSO,,,,jugo de zanahoria concentrado,,SI,,NO,,NO
R0054,7898142864252,natural,solo_A,SI,,DIÓXIDO DE TITANIO; E171; TARTRAZINA; E102; ROJO ALLURA AC; E129; AMARILLO OCASO FCF; E110; AZUL BRILLANTE FCF; E133; INDIGOTINA; E132,,,,SI,,NO,,NO
R0055,7501057720390,natural,solo_A,SI,,CARMIN,,,,SI,,NO,,NO
R0056,7501055912414,natural,comun,SI,SI,beta-caroteno,beta-caroteno,,,SI,SI,NO,NO,NO
R0057,7506443106475,sintetico,solo_A,SI,,tartrazina,,,,SI,,NO,,NO
R0058,8410667004303,sin_deteccion,comun,NO,NO,,,,,SI,SI,NO,NO,NO
R0059,812999014421,natural,solo_A,SI,,amarillo 5; amarillo 6; rojo 40; azul 1; azul 2; carmín; tartrazina,,,,SI,,NO,,NO
R0060,7501011151703,sintetico,solo_A,SI,,ROJO ALLURA AC; TARTRAZINA; AMARILLO OCASO FCF; AZUL BRILLANTE FCF,,,,SI,,NO,,NO
R0061,7502260420077,natural,comun,SI,SI,dióxido de titanio; extracto de annatto,dióxido de titanio; extracto de annatto,,,SI,SI,NO,NO,NO
R0062,16000467590,sintetico,solo_B,,SI,,azul 1; dióxido de titanio,,carbonato de calcio; Vitamina B2; riboflavina,,SI,,NO,NO
R0063,1011145566,sintetico,comun,SI,SI,rojo allura AC; tartrazina; amarillo ocaso FCF; azul brillante FCF,rojo allura AC; tartrazina; amarillo ocaso FCF; azul brillante FCF,,,SI,SI,NO,NO,NO
R0064,7501030470106,sintetico,solo_B,,SI,,AMARILLO 5; AZUL 1,,,,SI,,NO,NO
R0065,7501791638012,sintetico,solo_B,,SI,,Rojo 40; Amarillo 6; Azul 1; Amarillo 5; tartrazina,,,,SI,,NO,NO
R0066,42400212638,natural,solo_B,,SI,,ACHIOTE,,CARBONATO DE CALCIO,,SI,,NO,NO
R0067,7501020563733,natural,comun,SI,SI,curcumina; carmín,curcumina; carmín,Carbonato de calcio,Carbonato de calcio,SI,SI,SI,SI,NO
R0068,781718645911,sin_deteccion,solo_A,NO,,,,,,SI,,NO,,NO
R0069,7502259040415,sintetico,solo_A,SI,,amarillo 6; azul 2; rojo allura AC,,,,SI,,NO,,NO
R0070,7501040095313,ambiguo_descartado,solo_B,,SI,,Beta caroteno,,,,SI,,NO,NO
R0071,7501020572278,natural,solo_A,SI,,Carmin,,,,SI,,NO,,NO
R0072,7501008010259,ambiguo_descartado,comun,SI,SI,curcumina; annato,curcumina; annato,,,SI,SI,NO,NO,NO
R0073,8716200718882,ambiguo_descartado,solo_A,NO,,,,Beta caroteno; Carotenoides,,SI,,NO,,NO
R0074,7501020512649,sin_deteccion,comun,NO,NO,,,,,SI,SI,NO,NO,NO
R0075,33844005351,sin_deteccion,solo_A,NO,,,,,,SI,,NO,,NO
R0076,7501003301475,sintetico,comun,SI,SI,rojo allura AC,rojo allura AC,,concentrado de jugo de uva,SI,SI,NO,NO,NO
R0077,7501030421313,sintetico,comun,SI,NO,AMARILLO 5,,,,SI,SI,NO,NO,SI
R0078,7501791655705,ambiguo_descartado,comun,SI,DUDOSO,oleorresina de paprika,,,oleorresina de paprika,SI,SI,NO,NO,SI
R0079,7501791625012,sin_deteccion,comun,SI,SI,ROJO NO 40,ROJO NO 40,,,SI,SI,NO,NO,NO
R0080,7501031311682,sin_deteccion,solo_A,NO,,,,,,SI,,NO,,NO
R0081,41220169542,ambiguo_descartado,solo_B,,SI,,JUGO DE REMOLACHA; CONCENTRADO DE FRUTAS Y VERDURAS; CURCUMINA,,,,SI,,NO,NO
R0082,41789001925,ambiguo_descartado,comun,SI,DUDOSO,CURCUMA,,RIBOFLAVINA,RIBOFLAVINA; CURCUMA,SI,SI,NO,NO,SI
R0083,7411000714270,natural,comun,SI,SI,caroteno; curcuma,caroteno; curcuma,,,SI,SI,NO,NO,NO
R0084,735257003244,natural,comun,SI,SI,dióxido de titanio; tartrazina; amarillo ocaso FCF; rojo allura AC; azul brillante FCF,dióxido de titanio; tartrazina; amarillo ocaso FCF; rojo allura AC; azul brillante FCF,,,SI,SI,NO,NO,NO
R0085,7501059230880,natural,solo_B,,SI,,Carmín,,,,SI,,NO,NO
R0086,7501032398330,natural,solo_B,,SI,,carmín,,,,SI,,NO,NO
R0087,7501030420866,natural,comun,SI,SI,carmín,carmín,,,NO,SI,NO,NO,NO
R0088,7501059233584,sintetico,solo_B,,SI,,Azorrubina; Azul brillate FCF,,,,SI,,NO,NO
R0089,661440000052,sin_deteccion,comun,NO,NO,,,,,SI,SI,NO,NO,NO
R0090,7501022010921,ambiguo_descartado,solo_A,SI,,betacaroteno,,riboflavina,,SI,,NO,,NO
R0091,7501003114785,natural,solo_A,SI,,EXTRACTO DE ANNATO,,,,SI,,NO,,NO
R0092,8076809575799,sin_deteccion,solo_A,NO,,,,riboflavina,,SI,,NO,,NO
R0093,681131411011,natural,solo_A,SI,,carmín de cochinilla,,,,SI,,NO,,NO
R0094,7501003335029,ambiguo_descartado,solo_A,SI,,cúrcuma,,,,SI,,NO,,NO
R0095,7501010403506,sin_deteccion,comun,SI,SI,annato,annato,,,SI,SI,NO,NO,NO
R0096,7501791628167,natural,solo_B,,SI,,aciote; cúrcuma,,,,SI,,NO,NO
R0097,7501057720505,natural,solo_B,,SI,,carmín,,,,SI,,NO,NO
R0098,850697002517,sintetico,solo_B,,SI,,amarillo ocaso FCF; amarillo 6; rojo 40; indigotina; azul 2; ta razina; tartrazina; amarillo 5; roo 40,,,,NO,,NO,NO
R0099,7503024419924,sin_deteccion,solo_B,,NO,,,,,,SI,,NO,NO
R0100,7503020074080,ambiguo_descartado,solo_A,SI,,cúrcuma,,,,SI,,NO,,NO
R0101,757528027032,sintetico,comun,SI,SI,laca rojo no. 40; laca amarillo no. 6,laca rojo no. 40; laca amarillo no. 6,,,SI,SI,NO,NO,NO
R0102,7501008071380,ambiguo_descartado,solo_A,DUDOSO,,,,paprika,,SI,,NO,,NO
R0103,7501303990881,sintetico,solo_B,,SI,,amarillo 5; azul 1,,carbonato de calcio,,SI,,NO,NO
R0104,7503004008735,sintetico,solo_B,,SI,,ROJO NO. 40,,,,SI,,NO,NO
R0105,7501025511326,natural,solo_A,SI,,colorante rojo betabel,,,,SI,,NO,,NO
R0106,7501073831988,sintetico,solo_A,SI,,Amarillo 6,,,,SI,,NO,,NO
R0107,7503026409558,sin_deteccion,solo_B,,NO,,,,,,SI,,NO,NO
R0108,7503205807602,natural,solo_A,SI,,carmín; rojo 40,,vitamina B2,,SI,,NO,,NO
R0109,602723470537,sin_deteccion,solo_B,,NO,,,,carbon activado,,NO,,NO,NO
R0110,7501013100556,sintetico,solo_B,,SI,,Rojo 40,,,,SI,,NO,NO
R0111,7501791666398,sintetico,solo_A,SI,,amarillo 5; Amarillo 6; rojo 5; Azul 2,,,,SI,,NO,,NO
R0112,7501040001161,natural,solo_B,,SI,,carmín,,,,SI,,NO,NO
R0113,7501032398514,sin_deteccion,solo_B,,NO,,,,,,SI,,NO,NO
R0114,7506443103351,natural,solo_A,SI,,beta caroteno; carmin,,,,SI,,NO,,NO
R0115,20899752057,sintetico,comun,SI,SI,amarillo 5; amarillo 6; rojo 40; rojo 3; azul 1,amarillo 5; amarillo 6; rojo 40; rojo 3; azul 1,,,SI,SI,NO,NO,NO
R0116,7501639309432,natural,solo_A,SI,,annatto,,,,SI,,NO,,NO
R0117,7501054902973,sin_deteccion,solo_A,NO,,,,,,SI,,NO,,NO
R0118,7501791661751,natural,solo_A,SI,,carmín,,,,SI,,NO,,NO
R0119,7501325703018,natural,solo_B,,SI,,CARMÍN,,,,SI,,NO,NO
R0120,7501011143524,sin_deteccion,comun,NO,NO,,,,,SI,SI,NO,NO,NO
R0121,7501791670562,sin_deteccion,solo_A,NO,,,,,,SI,,NO,,NO
R0122,757528044992,natural,solo_A,SI,,CARMÍN; ROJO ALLURA AC,,,,SI,,NO,,NO
R0123,75026196,sintetico,comun,SI,SI,carmioisina; azul 1; amarillo 5; tartrazina,carmioisina; azul 1,,,SI,SI,NO,NO,SI
R0124,7501006559330,natural,solo_B,,SI,,extracto de paprika; amarillo ocaso FCF; tartrazina,,,,SI,,NO,NO
R0125,7501040034718,ambiguo_descartado,solo_A,SI,,oleorresina de cúrcuma; páprika,,,,SI,,NO,,NO
R0126,7501003107817,natural,solo_B,,SI,,beta-caroteno,,,,SI,,NO,NO
R0127,75030896,natural,comun,SI,SI,carmin; dorofilinad sodio y potasio,carmin,,dorofilinad sodio y potasio,SI,SI,NO,NO,SI
R0128,7501030468318,sintetico,solo_B,,SI,,ROJO 40; AMARILLO 6; AMARILLO 5,,,,SI,,NO,NO
R0129,7500525518828,sin_deteccion,solo_B,,NO,,,,,,SI,,NO,NO
R0130,7501032332020,ambiguo_descartado,comun,SI,SI,extracto de annato,extracto de annato,carbonato de calcio; Vitamina B2,carbonato de calcio; Vitamina B2,SI,SI,NO,NO,NO
R0131,7500463466281,sin_deteccion,solo_B,,NO,,,,,,SI,,NO,NO
R0132,7501040080067,ambiguo_descartado,solo_B,,SI,,extracto de annato,,,,SI,,NO,NO
R0133,8410663000248,natural,solo_B,,SI,,annato norbixina,,,,SI,,NO,NO
R0134,7501000641482,sintetico,solo_B,,SI,,TARTRAZINA; AMARILLO OCASO FCF,,,,SI,,NO,NO
R0135,7501182300894,sin_deteccion,solo_A,NO,,,,,,SI,,NO,,NO
R0136,7501011166554,ambiguo_descartado,solo_B,,DUDOSO,,,,ACHIOTE,,SI,,NO,NO
R0137,7503028643417,natural,solo_B,,SI,,CARMÍN; BETA CAROTENO,,,,SI,,NO,NO
R0138,8719200303508,ambiguo_descartado,solo_A,SI,,extracto de annato; cúrcuma,,,,SI,,NO,,NO
R0139,7501057710506,natural,solo_B,,SI,,CARMIN,,,,SI,,NO,NO
R0140,561801022399,sin_deteccion,comun,SI,SI,dióxido de titaniol,dióxido de titaniol,,,SI,SI,NO,NO,NO
R0141,7501092109143,natural,solo_B,,SI,,extracto de annato,,,,SI,,NO,NO
R0142,2000000147339,sintetico,comun,SI,SI,tartrazina; FD&C amarillo No. 5; amarillo ocaso; FD&C amarillo No.6; rojo allura AC; FD&C rojo 40,tartrazina; FD&C amarillo No. 5; amarillo ocaso; FD&C amarillo No.6; rojo allura AC; FD&C rojo 40,riboflavina (vitamina B2),riboflavina; vitamina B2,SI,SI,NO,NO,NO
R0143,7506475125017,natural,solo_A,SI,,amarillo 6; azul 1; rojo 40; amarillo 5; extracto de annato,,carbonato de calcio,,SI,,NO,,NO
R0144,7501008013007,natural,comun,SI,SI,dióxido de titanio,dióxido de titanio,,,SI,SI,NO,NO,NO
R0145,7501791625500,ambiguo_descartado,solo_A,SI,,oleorresina de paprika,,,,SI,,NO,,NO
R0146,7501020570861,natural,solo_A,SI,,carmín,,,,SI,,NO,,NO
R0147,7501040083631,ambiguo_descartado,comun,SI,SI,betacaroteno,betacaroteno,,,SI,SI,NO,NO,NO
R0148,808806886978,sin_deteccion,solo_A,NO,,,,,,SI,,NO,,NO
R0149,7501073839304,sintetico,solo_B,,SI,,Rojo 40,,,,SI,,NO,NO
R0150,76150200249,natural,comun,SI,SI,extracto de annato,extracto de annato,,,SI,SI,NO,NO,NO
R0151,7501059218987,natural,solo_B,,SI,,curcumina; extracto de annato,,,,SI,,NO,NO
R0152,7506443105713,sintetico,solo_B,,NO,,,,,,SI,,NO,NO
R0153,5514223807766,natural,solo_A,SI,,Curcumina; Extracto de Annato; Oleorresina de Paprika,,,,SI,,NO,,NO
R0154,7501091200339,ambiguo_descartado,solo_B,,SI,,dioxido de titanio,,,,SI,,NO,NO
R0155,7501791628242,sin_deteccion,solo_B,,NO,,,,,,SI,,NO,NO
R0156,7501011307476,natural,solo_A,SI,,cloroñla; beta—caroteno,,,,SI,,NO,,NO
R0157,7500326297861,natural,comun,SI,SI,laca carmín; oleorresina de paprika,laca carmín,,oleorresina de paprika,SI,SI,NO,NO,SI
R0158,7501791665834,sin_deteccion,solo_B,,NO,,,,,,SI,,NO,NO
R0159,7501761842241,sintetico,solo_A,SI,,DIOXIDO DE TITANIO; TARTRAZINA,,,,SI,,NO,,NO
R0160,7503028351329,sin_deteccion,comun,NO,NO,,,Vitamina B2 (Riboflavina),Vitamina B2; Riboflavina,SI,SI,NO,NO,NO
R0161,75042813,natural,solo_B,,SI,,carmín; anaranjado alimentos 5,,,,SI,,NO,NO
R0162,7501864105281,sintetico,solo_A,SI,,ROJO 40; AMARILLO 5,,,,SI,,NO,,NO
R0163,7501032485030,sintetico,solo_B,,SI,,amarillo 5; azul 2; rojo 401,,,,SI,,NO,NO
R0164,7501025511302,natural,solo_B,,SI,,betacaroteno,,,,SI,,NO,NO
R0165,75003135,natural,solo_A,SI,,Carmín,,,,SI,,NO,,NO
R0166,11857877,natural,solo_A,SI,,rojo allura AC; extracto de annato,,,,SI,,NO,,NO
R0167,4502077980088,natural,solo_A,SI,,beta caroteno,,,,SI,,NO,,NO
R0168,7501130901050,natural,solo_B,,SI,,carmin; FD&C amarillo 5; tartrazina,,,,SI,,NO,NO
R0169,7501013611113,natural,comun,SI,SI,EXTRACTO DE ANNATO,EXTRACTO DE ANNATO,,,SI,SI,NO,NO,NO
R0170,41800490004,sintetico,solo_B,,SI,,ROJO 40,,,,SI,,NO,NO
R0171,738545010740,sin_deteccion,comun,NO,NO,,,,,SI,SI,NO,NO,NO
R0172,7501040003455,natural,solo_A,SI,,carmin,,,,SI,,NO,,NO
R0173,7501791669252,natural,solo_B,,SI,,carmín,,,,SI,,NO,NO
R0174,7501055905997,natural,solo_A,SI,,rojo natural 4,,,,SI,,NO,,NO
R0175,7501002202261,ambiguo_descartado,solo_A,SI,,EXTRACTO DE ANNATO,,,,SI,,NO,,NO
R0176,7501040092824,natural,solo_A,SI,,ennato; carmín,,,,SI,,NO,,NO
R0177,7503008708020,sin_deteccion,comun,NO,NO,,,,,SI,SI,NO,NO,NO
R0178,7501020568585,ambiguo_descartado,solo_B,,SI,,Carotenos naturales,,,,SI,,NO,NO
R0179,7501011123588,sintetico,solo_A,SI,,AMARILLO OCASO FCF; TARTRAZINA; ACHIOTE,,,,SI,,NO,,NO
R0180,7501902770525,natural,solo_B,,SI,,Dióxido de Titanio; Tartrazina; Rojo Allura AC,,,,SI,,NO,NO
R0181,7502249130393,sin_deteccion,solo_A,NO,,,,,,SI,,NO,,NO
R0182,7503022833005,sin_deteccion,solo_B,,NO,,,,,,SI,,NO,NO
R0183,7501057711060,natural,solo_B,,SI,,CARMÍN,,,,SI,,NO,NO
R0184,75065065,natural,comun,SI,SI,"carmin; beta, beta-caroteno","carmin; beta, beta-caroteno",,,SI,NO,NO,NO,NO
R0185,7503030199674,sintetico,solo_A,SI,,rojo 40; amarillo 6; amarillo 5,,,,SI,,NO,,NO
R0186,21000026272,natural,solo_A,SI,,PAPRIKA; TURMERIC; ANNATTO,,RIBOFLAVIN; CALCIUM CARBONATE,,SI,,NO,,NO
R0187,7501030457428,sintetico,comun,SI,SI,AMARILLO 6; EXTRACTO DE ANNATO; AZLİ1; ROJO 40; DE ANNATO,AMARILLO 6; EXTRACTO DE ANNATO; ROJO 40,,,SI,NO,NO,NO,SI
R0188,7501032335052,natural,solo_B,,SI,,carmin; beta caroteno,,,,SI,,NO,NO
R0189,884912273116,natural,solo_B,,SI,,dióxido de titanio,,vitamina B2; riboflavina,,SI,,NO,NO
R0190,34856008187,natural,comun,SI,SI,ANNATTO; TURMERIC; FRUIT AND VEGETABLE JUICE,ANNATTO; TURMERIC; FRUIT AND VEGETABLE JUICE,,,SI,SI,NO,NO,NO
R0191,7802410000198,natural,solo_A,SI,,annato norbixina; curcumina,,,,SI,,NO,,NO
R0192,7501005151962,natural,solo_B,,SI,,oleorresina de paprika,,,,NO,,SI,NO
R0193,7501014302355,sintetico,solo_A,SI,,Amarillo 5; Amarillo 6; Rojo 40; Azul 1; tartrazina; azul brillante FCF,,,,SI,,NO,,NO
R0194,7501059230897,natural,solo_A,SI,,Carmin,,,,SI,,NO,,NO
R0195,7501040090875,sintetico,solo_B,,SI,,Rojo 6; Rojo 40; Amarillo 6,,,,SI,,NO,NO
R0196,84114113917,natural,solo_A,SI,,EXTRACTO DE PAPRIKA,,PIMENTON,,SI,,NO,,NO
R0197,7501325701793,natural,solo_A,SI,,carmín,,,,SI,,NO,,NO
R0198,636817014253,natural,solo_A,SI,,Dióxido de Titanio; Rojo Allura AC.; Tartrazina,,,,SI,,NO,,NO
R0199,38000581717,ambiguo_descartado,comun,SI,SI,dióxido de titanio,dióxido de titanio,vitamina B2,vitamina B2,SI,SI,NO,NO,NO
R0200,26200014623,ambiguo_descartado,comun,DUDOSO,DUDOSO,,,paprika and extractives of paprika,paprika; extractives of paprika,NO,SI,NO,NO,NO
R0201,7502261260771,ambiguo_descartado,comun,SI,SI,extracto de annato,extracto de annato,,,SI,SI,NO,NO,NO
R0202,757528031312,sintetico,solo_B,,SI,,AMARILLO 6; ROJO 40; AMARILLO 5,,,,SI,,NO,NO
R0203,44774056061,sintetico,solo_A,SI,,extracto de anato; amarillo 5; rojo 40y,,,,SI,,NO,,NO
R0204,12964000064,sin_deteccion,comun,NO,NO,,,,,SI,SI,NO,NO,NO
R0205,7501059296756,natural,comun,SI,SI,rojo natural 4; extracto de annato; curcumlna,rojo natural 4; extracto de annato; curcumlna,,,SI,SI,NO,NO,NO
R0206,7501008006290,sin_deteccion,solo_B,,NO,,,,,,SI,,NO,NO
R0207,228169,natural,solo_A,SI,,achiote; cúrcuma,,riboflavina,,SI,,NO,,NO
R0208,7501008015261,natural,comun,SI,SI,cúrcuma; annato,cúrcuma; annato,,,SI,SI,NO,NO,NO
R0209,7503018985695,sintetico,solo_A,SI,,amarillo No. 5 FD&C; amarillo No. 6 FD&C,,,,SI,,NO,,NO
R0210,7501059295322,natural,solo_B,,SI,,antocianinas,,,,SI,,NO,NO
R0211,7501003789792,sin_deteccion,solo_A,NO,,,,,,SI,,NO,,NO
R0212,7501029051835,sintetico,solo_B,,SI,,Rojo No. 40; Azul No.1,,,,SI,,NO,NO
R0213,711410004594,sintetico,solo_B,,SI,,ROJO 40,,,,SI,,NO,NO
R0214,7503029445126,ambiguo_descartado,solo_A,SI,,DIÓXIDO DE TITANIO,,CARBONATO DE CALCIO,,SI,,NO,,NO
R0215,760573080129,ambiguo_descartado,solo_A,DUDOSO,,,,cúrcuma,,SI,,NO,,NO
R0216,7501024203284,natural,solo_A,SI,,anato; cúrcuma,,,,SI,,NO,,NO
R0217,46900001778,ambiguo_descartado,comun,DUDOSO,DUDOSO,,,PÁPRIKA,PÁPRIKA,SI,SI,NO,NO,NO
R0218,7501088102721,ambiguo_descartado,solo_A,NO,,,,Cúrcuma,,SI,,NO,,NO
R0219,7501125103582,sintetico,solo_A,SI,,Amarillo No. 5; Amarillo No. 6,,,,SI,,NO,,NO
R0220,7501032398316,natural,solo_A,SI,,carmín; amarillo 5; Tartrazina,,,,SI,,NO,,NO
R0221,76112000030,natural,comun,SI,SI,EXTRACTO DE PIMENTÓN; AMARILLO 5; AMARILLO 6; EXTRACTO DE ACHIOTE,AMARILLO 5; AMARILLO 6; EXTRACTO DE ACHIOTE,,EXTRACTO DE PIMENTÓN,SI,SI,NO,NO,SI
R0222,7503023660327,ambiguo_descartado,solo_A,DUDOSO,,,,CURCUMA MOLIDA,,SI,,NO,,NO
R0223,41800326006,sintetico,solo_A,SI,,ROJO 40,,,,SI,,NO,,NO
R0224,76397801025,sin_deteccion,comun,NO,NO,,,,,SI,SI,NO,NO,NO
R0225,7501030421221,sintetico,comun,SI,NO,AMARILLO 5,,,,SI,SI,NO,NO,SI
R0226,80941385,natural,solo_B,,SI,,ROJO REMOLACHA,,,,SI,,NO,NO
R0227,7501518494440,natural,solo_A,SI,,oleorresina de paprika; FD&C laca amarillo 5,,,,SI,,NO,,NO
R0228,7501008082843,natural,comun,SI,SI,dióxido de titanio,dióxido de titanio,,,SI,SI,NO,NO,NO
R0229,7501040006197,sintetico,solo_B,,DUDOSO,,,,rojo curry,,NO,,NO,NO
R0230,7501791650236,ambiguo_descartado,comun,SI,SI,extracto de annato,extracto de annato,,,SI,SI,NO,NO,NO
R0231,7501011312258,natural,solo_A,SI,,beta—caroteno; rojo 40,,,,SI,,NO,,NO
R0232,7501058619228,natural,solo_A,SI,,annatto; cúrcuma,,,,SI,,NO,,NO
R0233,7501059289147,ambiguo_descartado,solo_B,,SI,,DIOXIDO DE TITANIO,,,,SI,,NO,NO
R0234,7622300722470,natural,solo_B,,SI,,dioxido de titanio,,,,SI,,NO,NO
R0235,8719200450462,ambiguo_descartado,solo_B,,SI,,annato; curcuma,,,,SI,,NO,NO
R0236,7501040095528,natural,comun,SI,SI,caroteno,caroteno,,,SI,SI,NO,NO,NO
R0237,7501032398460,natural,solo_A,SI,,carmin,,,,SI,,NO,,NO
R0238,7501040005831,natural,solo_B,,SI,,carmín,,,,SI,,NO,NO
R0239,7501055914524,natural,solo_B,,SI,,extracto de annato; cúrcuma,,,,SI,,NO,NO
